name,Bio,Excerpt,image,Attachment URL,Course Categories,Course Tags
Saana Azzam,"<p class=""p1""><span class=""s1""><b>Saana Azzam</b></span></p>
<p class=""p1""><span class=""s1""><b>Founder, MENA Speakers</b></span></p>
<p class=""p3""><span class=""s1"">Known as a “Chief Inspirational Officer” for businesses globally, Saana Azzam is an international award-winning economist, Forbes contributor, and CEO of The Middle East leading speaker’s bureau, MENA Speakers. </span></p>
<p class=""p3""><span class=""s1"">In addition to providing keynotes to conferences and events around the world, Azzam has become the region’s number one expert on public speaking. Her success is grounded in helping businesses in The Middle East select the right speakers for their events from talent in the region and around the world. MENA Speakers’ clients trust the company’s recommendations because of her insightful analysis from her training as an economist and strategic thinker; who works closely with event planners to assist them in understanding the cost-benefit analysis tied to selecting a speaker for any event.</span></p>
<p class=""p3""><span class=""s1"">Born to a Palestinian refugee, Azzam has pushed herself far beyond her humble beginnings. She’s a graduate from the esteemed Stockholm School of Economics with a Master’s in Economics. She earned the prestigious title of “Female Economist of the Year” in 2010. Through Harvard University’s extension courses in Boston, USA, she focused her studies on Leadership Communication. Later on she complete a course in Neuro Linguistic Programming (NLP) training so she could learn the traits of highly successful people.</span></p>
<p class=""p3""><span class=""s1"">Today, Azzam is a fellow at The Vital Voices GROW, a leading business program whose founder leaders are Hilary Clinton and Madeleine Albright. Recently, she was named one of the top 10 most influential leaders of 2020 by Insights Success.</span></p>
<p class=""p3""><span class=""s1"">Azzam also has distinguished herself as a keynote speaker, embracing her passion for impacting the lives of others as a professional speaker since 2010. She has been speaking for the likes of Spotify, The Kellogg Company, UAE University, and many more.</span></p>
<p class=""p3""><span class=""s1"">Recently, MENA Speakers launched a new tech platform, Experts Market, a marketplace for speakers to be booked for events, sell their books, online courses, advisory and market themselves more effectively. Azzam’s goal is to position Experts Market as a leading speakers’ destination and the ultimate ecommerce shop for speakers. Experts Market will partner with other speakers’ bureaus to modernize the industry; allowing these prestigious agencies to diversify their revenues and better serve their speaking clientele and organizations. </span></p>
<p class=""p3""><span class=""s1"">With a boundless amount of energy, creativity and determination, Azzam is continuously expanding MENA Speakers to become an even more globally-recognized brand, helping to bring more global talent to the region, and establishing it as the key global hub for speakers to learn how to monetize their platforms. </span></p>","Saana Azzam is an international speaker, public speaking coach, author, the co-founder of the tech platform called Experts Market, and Chief Inspiration Officer of the leading speakers' bureau in the Middle East, MENA Speakers. The company is a UAE based MCs and Speakers bureau that educates, engages, and empowers by connecting speakers, MCs, and trainers to events, companies, and governments around the World. The company received the Best Speakers’ Bureau award in the Middle East in 2019.",https://mena.nbbcravings.com/wp-content/uploads/2020/04/Untitled-design-5-min.png,,1|Communication|Feature|Sales,
Mohammed Qahtani,"Mohammed Qahtani: Public Speaking World Champion

Mohammed Qahtani, a Saudi Arabian engineer, won the Toastmasters World Championship of Public Speaking. Qahtani, won after several eliminating rounds that took six months with 30,000 participants from more than 100 countries. Growning up he suffered from severe stuttering but he was able to overcome it by facing his fears, pushing the envelope and performing on stage. He is passionate about public speaking and stand up comedy. He has participated in several conferences around the world where he inspires people to chase their dreams. He is successful both in engineering and public speaking and is a certified programmer from Microsoft and SAP, certified database administrator from Oracle and Microsoft, and certified advance speaker Gold from Toastmaster international.

Topics Qahtani covers in his speeches are around:

* Making a dream a reality, steps on overcoming your fears and plan your goals
* coping with changes
* Building the perfect team
* How to captivate your audience, a guide on delivering a memorable speech

Qahtani has stood on stage numerous times and is an applauded speaker, he presents in Arabic and English.
Categories: Change, Communication
","Mohammed Qahtani, a Saudi Arabian engineer, won the Toastmasters World Championship of Public Speaking. Qahtani, won after several eliminating rounds that took six months with 30,000 participants from more than 100 countries.",https://mena.nbbcravings.com/wp-content/uploads/2020/02/WhatsApp-Image-2020-02-11-at-3.13.28-PM.jpeg,,1|Communication|Feature,
Thea Myhrvold,"<b>Thea Myhrvold</b><span style=""font-weight: 400;"">: Founder and CEO</span>

<span style=""font-weight: 400;"">Thea is a proud founder and CEO of awarding winning and internationally recognized startups and brands. She is passionate about making knowledge and expertise accessible to all. Empowering  entrepreneurs, business, schools, and social enterprises to digitally transform and scale their reach globally. Thea has spent nearly a decade in her entrepreneurial journey, and truly knows what it takes to scale and execute from a simple idea to a global business. Being both Arabic and Norwegian, her international experiences and perspective has shaped how she aims to scale global impact. From coding one of the first game based apps for high school students with IB Smart, to launching a global marketplace for learning with TeachMenow, and now scaling a global B2B technology that digitally transforms the future of work and knowledge exchange with GetBEE,  she has a proven track record of delivery, impact and results. Securing partnerships with global brands like Microsoft to governments with the Dubai Future Foundation and One Million Arab Coders. Thea has been recognized with numerous awards including being an Expo2020 Global Innovator, The Cartier Womans Awards, INC. Arabia’s Top Female Startups, Mercedes Benz Brand Ambassador as well a top 10 Linkedin Power Profile. She is a thought leader and global speaker on topics regarding edtech, startups, innovation, women in leadership, education and technology. She is regularly quoted in international media in both print and broadcast outlets around the world, and has been featured in Forbes, Bloomberg, Skynews, The Financial Times, The BBC, Gulf News, to name a few.  An advocate for women and diversity in tech and how technology is and can be used as a force for good and social impact.</span>

&nbsp;",Thea is a proud founder and CEO of awarding winning and internationally recognized startups and brands. She is passionate about making knowledge and expertise accessible to all.,https://mena.nbbcravings.com/wp-content/uploads/2020/04/thea.jpg,,1|Entrepreneur|Feature|Innovation|Technology,
Professor Martin Spraggon,"Professor Martin Spraggon: Strategy and Innovation Management

Professor Martin Spraggon is a progressive professor of Strategy and Innovation Management with more than 25 years of industry and consultation experience across the GCC, Europe, and the Americas. Currently the Associate Dean of Academic Affairs at the Mohammed bin Rashid School of Government, his areas of specialization include corporate governance, strategy formulation, strategic positioning, benchmarking, design thinking and innovation, international marketing and portfolio management. As a licensed psychologist, professional actor and martial artist, he is also an expert on human motivation, organizational and human behavior, emotionally intelligent leadership and public speaking, and has been involved in the conception, development, delivery and administration of unique executive education and leadership development programs for the last 15 years in the private and public sectors of North America and the UAE.

A regular conference speaker on various topics including corporate strategy, leadership, happiness and executive education, Spraggon is the co-author of two books with Palgrave Macmillan and Routledge, and has published over 100 peer-reviewed scientific articles and case studies on corporate governance, health-care management, innovation and knowledge management, organizational play, family businesses, authentic leadership, executive compensation and M&As. He is actively involved in case study research and practice and frequently assumes responsibilities as a member of international program committees at leading conferences around the world.

Categories: Author, Celebrity, Corporate Culture, Education, Film, Governance, Health, Innovation, Leadership, Management, Marketing, Motivation, Psychology
","Professor Martin Spraggon is a progressive professor of Strategy and Innovation Management with more than 25 years of industry and consultation experience across the GCC, Europe, and the Americas.",https://mena.nbbcravings.com/wp-content/uploads/2020/04/dubai-universities-drop-exams-focus-real-world.jpg,,1|Author|Communication|Technology,
James Taylor,"James Taylor: Award-winning entrepreneur, author, host, and inspiring keynote speaker

James Taylor M.B.A. F.R.S.A. - who started his career managing high profile rock stars - is now an in-demand keynote speaker and internationally recognized leader in business creativity and innovation. For over 20 years, he has been advising CEO’s, entrepreneurs, educators, governments and leaders from Silicon Valley to Singapore on how to build innovative organizations, unlock creative potential, and increase productivity. 

As the founder of C.SCHOOL™ and the host of multiple global summits he has personally interviewed over 500 of the world’s leading creative minds including Silicon Valley tech CEO’s, New York Times bestselling authors, and artificial intelligence pioneers. Hundreds of thousands of people in over 120 countries have learned about creativity and innovation through his online courses, videos, media interviews and keynote speeches.
His clients have included Fortune Global 500 companies, government policy makers, industry associations, and he was recently the subject of a 30 minute BBC documentary about his life and work. He was awarded the S.D. Southern Prize from Canadian energy services company ATCO and named 'ONTRApreneur of the Year’ from U.S. business and marketing automation leaders ONTRAPORT. 
James is also a Fellow of the Royal Society of the Arts (F.R.S.A.) whose Fellows have included global innovators and leaders including President Benjamin Franklin, Sir Tim Berners-Lee, Bob Dylan, Adam Smith, Nelson Mandela and Professor Stephen Hawking.
Categories: Artificial Intelligence, Author, Entrepreneur, Innovation, Motivation
",James Taylor M.B.A. F.R.S.A. - who started his career managing high profile rock stars - is now an in-demand keynote speaker and internationally recognized leader in business creativity and innovation.,https://mena.nbbcravings.com/wp-content/uploads/2020/04/james-taylor-change-speaker-1.jpg,,1|Author|Feature|Innovation|Marketing|Motivation,
Joy Ajlouny,"Joy Ajlouny: Co-founder of Fetchr
Businesswoman, motivational speaker ,serial entrepreneur and advisor, Joy Ajlouny is a flash-bang grenade thrown into the Middle East. Born and raised in California to Palestinian refugees, Ajlouny has built a reputation for her success in startups and ventures worldwide, all the while disrupting the status quo of women in buisness. Belonging to the top one percent of female entrepreneurs, the self-made entrepreneur has “gamified rejection” and carved her space in the business world. 
In 2015 Ajlouny co-founded Fetchr, the Silicon Valley-backed tech company that was created to tackle the Middle East’s “no address” issue, which has been long been a hindrance to growth in emerging markets. She facilitated $11 million in initial investments in Fetchr, as well as $41 million in a series B round in 2017. Having raised over $72 million,the company now successfully operates in five countries with a 4500-person staff, and was dubbed the number one startup in the Middle East by Forbes. In 2019, Ajlouny demonstrated that she was beholden to nobody when she resigned from her position at Fetchr, with plans to launch her third Silicon Valley-backed company later this year.
Ahead of founding Fetchr, Ajlouny was the driving force and sole entity behind the e-commerce luxury fashion platform Bonfaire. Acquired by Moda Operandi––a fashion e-commerce giant owned by LVMH and Condé Nast––in 2013, just two years after its launch, this was only the start of what would develop into a long-lasting relationship between Ajlouny and the fashion industry. Ajlouny is regularly hired as a consultant for fashion startups, as well as for venture capitalists
Over the last decade, her unmatched knowledge and expertise in funding and investment, startups and marketing strategies has compounded into what’s known as the “Joy effect,” a term that refers to the ripple of her influence on a multitude of new and once suffering companies. Considered an expert in emotional marketing, she follows the rule of thumb that in order to be successful, you have to “fall in love with your customer.” With less than three percent of venture capital funding raised by women, Ajlouny has successfully raised multiple rounds of funding for her two startups, acquiring investments from prestigious Silicon Valley venture capital firms. 
As a self-made woman in the industry, Ajlouny is passionate about encouraging and investing knowledge into the young women of tomorrow. Ajlouny is regularly invited to speak at forums and events across the world and most recently took the stage at the World Economic Forum in Jordan and BoF VOICES in the UK. Her talks are not only centered upon her businesses, but on the realities of being a female entrepreneur, the double bind and the relentlessness it takes to secure a position that counters the traditional roles allocated for women.

Categories: Entrepreneur, Innovation, Women Leadership
","Joy Ajlouny: Co-founder of Fetchr
Businesswoman, motivational speaker ,serial entrepreneur and advisor, Joy Ajlouny is a flash-bang grenade thrown into the Middle East.",https://mena.nbbcravings.com/wp-content/uploads/2020/04/joy-ajlouny-2.jpg,,1|Entrepreneur|Feature|Innovation|Leadership,
Sheikh Dr. Majid Sultan Al Qassimi,"Sheikh Dr. Majid Sultan Al Qassimi: Director at Ministry of Climate Change and Environment & Chief Veterinary Officer of the UAE

Sheikh Dr. Majid Sultan Al Qassimi qualified as a doctor of veterinary medicine at Saint Istvan University in Budapest, Hungary. He started his work as a veterinarian in the zoo and conservation field after graduating. He moved into an administration role as a Director to oversee the Terrestrial Biodiversity and conservation activities at the Environment Agency of Abu Dhabi. He is now, the Chief Veterinary Officer of the UAE and currently Acting Assistant Undersecretary, of the Food Diversity sector, at the Ministry of Climate Change and Environment, UAE. He has a keen interest in engaging the youth to further career choices in STEM subjects, and as one of the first veterinarians from his country (there are only 10), he plays a vital role in supporting veterinary education and awareness, through public speaking, advising the university curriculum and career coaching the first batch of vet students. 

His work as a policy maker has brought him to the center of Food Security, now looking to create clear direction for the UAE and the middle east on how technology, sustainable agriculture and traditional practices may create a food production revolution in the region. After Developing the Food Diversification strategy for the UAE with the United Nations Food and Agriculture Organization, Dr. Majid has the ability to see both a holistic ""all of country"" approach to Food Security and development of local food production, as well as dive down into specific technical subjects to navigate challenges and opportunities. 

Categories: Agriculture, Biodiversity, Education, Environment, Food & Drink, Leadership, Motivation, Sustainability, Technology
","Sheikh Dr. Majid Sultan Al Qassimi qualified as a doctor of veterinary medicine at Saint Istvan University in Budapest, Hungary.",https://mena.nbbcravings.com/wp-content/uploads/2020/04/b1b6a40f_3201x2bc1wTransparent.jpg,,1|Leadership|Motivation|Technology,
Maryam Amiri,"<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Maryam Amiri: </span><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Professional MC</span></p>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Maryam Amiri is an Emirati Master of Ceremony and Moderator specializing in large-scale live events such as opening and closing ceremonies, international and government conferences, award galas and global launches.</span></p>
<b id=""docs-internal-guid-7039486c-7fff-e16d-2627-e95e73fd0cfc"" style=""font-weight: normal;""> </b>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Fluent in both English and Arabic, Maryam is recognized as the go to MC for heavily publicized internationally recognized headline events such as the Special Olympics World Games, Worldskills Abu Dhabi, FINTECH Abu Dhabi, Summit on the Global Agenda (a World Economic Forum event) and ADIPEC.</span></p>
<b style=""font-weight: normal;""> </b>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">As Moderator, Maryam runs panels and conducts onstage interviews with household names that have included Bill Gates, Alessandro Del Peiro and Yao Ming. Additionally, Maryam has moderated Ramadan lectures in the Sheikh Mohamed bin Zayed Al Nahyan Majlis, and provided live commentary at the world’s leading robotics competition First Global Challenge Dubai.</span></p>
<b style=""font-weight: normal;""> </b>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Maryam’s corporate communications background coupled with her extensive experience in directing media relations for Heads of State visits and protocol makes her the ideal MC to host and advise on high level VIP events.</span></p>
<b style=""font-weight: normal;""> </b>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Maryam provides one-on-one coaching for executives looking to enhance their presentation skills, speech delivery and audience engagement, and has contributed to The National, Arabian Business and Entrepreneur.com.</span></p>
&nbsp;
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Categories: Moderator</span></p>

<div><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> </span></div>","Maryam Amiri is an Emirati Master of Ceremony and Moderator specializing in large-scale live events such as opening and closing ceremonies, international and government conferences, award galas and global launches.",https://mena.nbbcravings.com/wp-content/uploads/2020/04/WhatsApp-Image-2020-11-05-at-1.10.37-PM-e1604578453329.jpeg|https://mena.nbbcravings.com/wp-content/uploads/2020/04/40424376_308276419728009_572547796578598912_o.jpg,,1,
Her Excellency Sara Al Madani,"<b>Her Excellency Sara Al Madani</b><span style=""font-weight: 400;"">: Inspirational Speaker</span>

<span style=""font-weight: 400;"">Her Excellency Sara Al Madani is a well-known fashion designer, Restaurant Owner and entrepreneur.</span>

<span style=""font-weight: 400;""> </span>

<span style=""font-weight: 400;"">In 2014, she was selected by His Highness Sheikh D.r Sultan Bin Mohammed Al Qassimi as a board member at Sharjah Chamber of Commerce and Industry, making her the youngest on the board.</span>

<span style=""font-weight: 400;""> </span>

<span style=""font-weight: 400;"">Sara’s parents inspired her to start her own business at a young age. Following her success as a young entrepreneur and business woman, Sara was selected to inspire women in the UAE to be more active and self-confident in order to achieve business success.</span>

<span style=""font-weight: 400;""> </span>

<span style=""font-weight: 400;"">Recognized for her creativity and hard work, Sara is an honoured speaker in many universities, colleges and institutes. She truly believes that it is important to be an active member of the community, inspiring the younger generation and continuously sharing knowledge, experience and information.</span>

<span style=""font-weight: 400;""> </span>

<span style=""font-weight: 400;"">Recent achievements:</span>

<span style=""font-weight: 400;"">2011 – SME stars of business Awards - Emirati entrepreneur of the year award</span>

<span style=""font-weight: 400;"">2012 – L’Officiel Arab Woman Awards - Young designer of the year award </span>

<span style=""font-weight: 400;"">2012 – Emirates Woman Award - Appreciation award for being innovative in the fashion industry </span>

<span style=""font-weight: 400;"">2013 – Emirates Woman Award - Best strategic and financial planning award</span>

<span style=""font-weight: 400;"">2016 – Ecosystem Influencer of the Year Award</span>

<span style=""font-weight: 400;"">2016 - GCC Inspiring Women Leaders award</span>

&nbsp;

<span style=""font-weight: 400;"">Titles:</span>

<span style=""font-weight: 400;"">- Board member at Sharjah Chamber of Commerce and Industry.</span>

<span style=""font-weight: 400;"">- Board Member at the shjSEEN Board of Trustees.</span>

<span style=""font-weight: 400;"">- Board Member of the SME Projects and Enterprise Council.</span>

&nbsp;

<span style=""font-weight: 400;"">Business:</span>

<span style=""font-weight: 400;"">- Founder &amp; Owner of Rouge Couture now known as Sara Al Madani Fashion Design. (Found in 2004)</span>

<span style=""font-weight: 400;"">- Owner / partner in Shabarbush resturant. (Found in 2016)</span>

<span style=""font-weight: 400;"">- Owner of Social Fish innovative idea consultancy.</span>

&nbsp;

<span style=""font-weight: 400;"">Ambassadorship:</span>

<span style=""font-weight: 400;"">- 2015 – Nivea Middle East Brand Ambassador</span>

<span style=""font-weight: 400;"">- 2015 – Natura Bisse Middle East Ambassador</span>

<span style=""font-weight: 400;"">- 2016 – “She Ambassador” for Mercedes</span>

&nbsp;

<span style=""font-weight: 400;"">Categories: Celebrity, Change, Corporate Culture, Entrepreneur, Fashion, Leadership, Mentoring &amp; Coaching, Middle East, Motivation, Social Media</span>","Her Excellency Sara Al Madani is a well-known fashion designer, Restaurant Owner and entrepreneur. In 2014, she was selected by His Highness Sheikh D.r Sultan Bin Mohammed Al Qassimi as a board member at Sharjah Chamber of Commerce and Industry, making her the youngest on the board.",https://mena.nbbcravings.com/wp-content/uploads/2020/04/original.jpg,,1,
Khalid AlQoud,"<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Khalid AlQoud:</span><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> Executive Coach, Leadership Expert and Entrepreneur</span></p>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Khalid AlQoud’s passion encompasses a spectrum of activities from both the corporate and social world. He has founded, led and developed several local and international organizations, and yet remains to be an active member in numerous initiatives.</span></p>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">He is an executive coach, speaker, entrepreneur, a leadership expert and business consultant. His expertise was not left unnoticed, and for over 15 years he has been invited on several occasions to manage both private and <a href=""https://mena.nbbcravings.com/dubai-bars-to-reopen-weddings-events-to-resume-guests-staff-must-be-vaccinated-against-covid-19/"">government-supported events</a>, as well as to speak in public platforms.</span></p>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Over the years, he has developed the characteristics that make him an effective coach. His expertise ranges over many areas: Leadership, CS, PR, public speaking, events management, motivational speaking and voluntary service. Under those themes, he has given keynote speaking and conducted workshops for local and international communities.</span></p>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">He envisions a future that fosters a new generation of distinguished leaders with the aim of effectively solving community challenges on both local and global scale.</span></p>
<p dir=""ltr"" style=""line-height: 1.295; margin-top: 0pt; margin-bottom: 8pt;""><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Categories: Change, Communication, CSR, Education, Entrepreneur, Leadership, <a href=""https://mena.nbbcravings.com"">Management, Middle East</a>, Motivation, Teamwork</span></p>

<div><span style=""font-size: 11pt; font-family: Calibri,sans-serif; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> </span></div>","Khalid AlQoud’s passion encompasses a spectrum of activities from both the corporate and social world. He has founded, led and developed several local and international organizations, and yet remains to be an active member in numerous initiatives.",https://mena.nbbcravings.com/wp-content/uploads/2020/04/48339973_1674962229317199_7127954091245830144_n.jpg,,1|coach|Entrepreneur|Leadership,
